Date,WMT,FB,BP
2016-02-01,63.942253,115.089996,27.116117
2016-02-02,63.335995,114.610001,24.823652
2016-02-03,62.777083999999995,112.690002,25.371103
2016-02-04,62.919178,110.489998,26.183735000000002
2016-02-05,63.468613,104.07,26.055424
2016-02-08,63.373875,99.75,25.593508
2016-02-09,62.341335,99.540001,24.763775
2016-02-10,62.322384,101.0,24.492987
2016-02-11,61.877151,101.910004,24.143585
2016-02-12,62.691837,102.010002,25.34902
2016-02-16,62.426586,101.610001,25.383957000000002
2016-02-17,62.625515,105.199997,26.161375
2016-02-18,60.74041,103.470001,26.012878
2016-02-19,61.251948999999996,104.57,25.986673
2016-02-22,62.170815000000005,107.160004,26.467096
2016-02-23,62.976025,105.459999,25.331545000000002
2016-02-24,63.582287,106.879997,24.929739
2016-02-25,64.453796,108.07,25.034557
2016-02-26,63.00444,107.91999799999999,25.331545000000002
2016-02-29,62.843394999999994,106.91999799999999,25.410162
2016-03-01,62.957069,109.82,25.881849
2016-03-02,62.720249,109.949997,26.388483
2016-03-03,62.653938000000004,109.58000200000001,26.964996000000003
2016-03-04,63.260212,108.389999,27.209576000000002
2016-03-07,64.311707,105.730003,27.515303000000003
2016-03-08,64.453796,105.93,26.266191
2016-03-09,64.444244,107.510002,26.467096
2016-03-10,64.329735,107.32,26.056555
2016-03-11,64.1007,109.410004,26.685474
2016-03-14,64.282013,109.889999,26.161375
2016-03-15,64.97865300000001,110.66999799999999,25.890589000000002
2016-03-16,64.883224,112.18,26.650534000000004
2016-03-17,64.36790500000001,111.019997,27.550240999999996
2016-03-18,63.89074300000001,111.449997,27.366802000000003
2016-03-21,64.864151,111.849998,27.183372
2016-03-22,64.768715,112.25,27.026142
2016-03-23,64.377441,112.540001,26.379749
2016-03-24,64.892769,113.050003,26.571921999999997
2016-03-28,65.007286,113.690002,26.571921999999997
2016-03-29,64.921402,116.139999,26.510777
2016-03-30,65.656219,114.699997,27.017406
2016-03-31,65.360382,114.099998,26.36228
2016-04-01,65.90435,116.059998,25.829442999999998
2016-04-04,65.94250500000001,112.550003,25.838179
2016-04-05,65.503525,112.220001,25.270402999999998
2016-04-06,65.885254,113.709999,25.593598999999998
2016-04-07,65.102715,113.639999,25.445101
2016-04-08,64.950035,110.629997,26.336075
2016-04-11,64.320183,108.989998,26.475835999999997
2016-04-12,65.656219,110.610001,27.25325
2016-04-13,65.990227,110.510002,27.410482000000002
2016-04-14,65.656219,110.839996,27.008669
2016-04-15,65.90435,109.639999,26.772823
2016-04-18,66.667778,110.449997,27.130959999999998
2016-04-19,66.58189399999999,112.290001,27.742414
2016-04-20,66.047485,112.41999799999999,27.829765000000002
2016-04-21,65.34129300000001,113.440002,27.724943
2016-04-22,65.57988,110.559998,28.08308
2016-04-25,66.295609,110.099998,27.768620000000002
2016-04-26,66.133377,108.760002,29.253569
2016-04-27,66.247879,108.889999,29.559299
2016-04-28,65.76119200000001,116.730003,29.253569
2016-04-29,63.814411,117.58000200000001,29.33219
2016-05-02,64.501503,118.57,29.367123
2016-05-03,63.938465,117.43,28.441215999999997
