"","de","a","ciudad","tipo","dif"
"195",2019-08-12 15:40:06,2019-08-12 15:58:14,"Europe/Madrid","Swimming",18.1333333333333
"196",2019-08-13 16:13:16,2019-08-13 16:26:35,"Europe/Madrid","Swimming",13.3166666666667
"197",2019-09-16 10:50:00,2019-09-16 10:57:00,"Europe/Madrid","Walking",7
"198",2019-09-16 17:41:00,2019-09-16 17:59:00,"Europe/Madrid","Walking",18
"199",2019-09-16 18:59:00,2019-09-16 19:16:00,"Europe/Madrid","Walking",17
"200",2019-09-17 08:00:00,2019-09-17 08:10:00,"Europe/Madrid","Other",10
"201",2019-09-17 08:00:00,2019-09-17 08:10:00,"Europe/Madrid","Other",10
"202",2019-09-17 09:15:00,2019-09-17 09:22:00,"Europe/Madrid","Running",7
"203",2019-09-17 09:29:00,2019-09-17 09:34:00,"Europe/Madrid","Running",5
"204",2019-09-17 12:12:00,2019-09-17 12:20:00,"Europe/Madrid","Walking",8
"205",2019-09-17 14:53:00,2019-09-17 15:02:00,"Europe/Madrid","Walking",9
"206",2019-09-18 09:00:00,2019-09-18 09:10:00,"Europe/Madrid","Walking",10
"207",2019-09-18 11:55:00,2019-09-18 12:06:00,"Europe/Madrid","Walking",11
"208",2019-09-18 13:46:00,2019-09-18 13:51:00,"Europe/Madrid","Walking",5
"209",2019-09-18 17:29:00,2019-09-18 17:47:00,"Europe/Madrid","Walking",18
"210",2019-09-21 09:38:00,2019-09-21 09:56:00,"Europe/Madrid","Running",18
"211",2019-09-21 09:57:00,2019-09-21 10:06:00,"Europe/Madrid","Walking",9
"212",2019-09-21 14:56:00,2019-09-21 15:00:00,"Europe/Madrid","Walking",4
"213",2019-09-23 13:37:00,2019-09-23 13:49:00,"Europe/Madrid","Walking",12
